host,hostname,hostname_type,protocol,port,name,state,product,extrainfo,reason,version,conf,"cpe",
10.0.2.6,,,tcp,21,ftp,open,vsftpd,,syn-ack,2.3.4,10,"cpe:/a:vsftpd:vsftpd:2.3.4",
10.0.2.6,,,tcp,22,ssh,open,OpenSSH,protocol 2.0,syn-ack,4.7p1 Debian 8ubuntu1,10,"cpe:/o:linux:linux_kernel",
10.0.2.6,,,tcp,23,telnet,open,Linux telnetd,,syn-ack,,10,"cpe:/o:linux:linux_kernel",
10.0.2.6,,,tcp,25,smtp,open,Postfix smtpd,,syn-ack,,10,"cpe:/a:postfix:postfix",
10.0.2.6,,,tcp,53,domain,open,ISC BIND,,syn-ack,9.4.2,10,"cpe:/a:isc:bind:9.4.2",
10.0.2.6,,,tcp,80,http,open,Apache httpd,(Ubuntu) DAV/2,syn-ack,2.2.8,10,"cpe:/a:apache:http_server:2.2.8",
10.0.2.6,,,tcp,111,rpcbind,open,,RPC #100000,syn-ack,2,10,"",
10.0.2.6,,,tcp,139,netbios-ssn,open,Samba smbd,workgroup: WORKGROUP,syn-ack,3.X - 4.X,10,"cpe:/a:samba:samba",
10.0.2.6,,,tcp,445,netbios-ssn,open,Samba smbd,workgroup: WORKGROUP,syn-ack,3.0.20-Debian,10,"cpe:/a:samba:samba",
10.0.2.6,,,tcp,512,exec,open,netkit-rsh rexecd,,syn-ack,,10,"cpe:/o:linux:linux_kernel",
10.0.2.6,,,tcp,513,login,open,OpenBSD or Solaris rlogind,,syn-ack,,10,"",
10.0.2.6,,,tcp,514,tcpwrapped,open,,,syn-ack,,8,"",
10.0.2.6,,,tcp,1099,java-rmi,open,GNU Classpath grmiregistry,,syn-ack,,10,"",
10.0.2.6,,,tcp,1524,bindshell,open,Metasploitable root shell,,syn-ack,,10,"",
10.0.2.6,,,tcp,2049,nfs,open,,RPC #100003,syn-ack,4-Feb,10,"",
10.0.2.6,,,tcp,2121,ftp,open,ProFTPD,,syn-ack,1.3.1,10,"cpe:/a:proftpd:proftpd:1.3.1",
10.0.2.6,,,tcp,3306,mysql,open,MySQL,,syn-ack,5.0.51a-3ubuntu5,10,"cpe:/a:mysql:mysql:5.0.51a-3ubuntu5",
10.0.2.6,,,tcp,3632,distccd,open,distccd,(GNU) 4.2.4 (Ubuntu 4.2.4-1ubuntu4),syn-ack,v1,10,"",
10.0.2.6,,,tcp,5432,postgresql,open,PostgreSQL DB,,syn-ack,8.3.0 - 8.3.7,10,"cpe:/a:postgresql:postgresql:8.3",
10.0.2.6,,,tcp,5900,vnc,open,VNC,protocol 3.3,syn-ack,,10,"",
10.0.2.6,,,tcp,6000,X11,open,,access denied,syn-ack,,10,"",
10.0.2.6,,,tcp,6667,irc,open,UnrealIRCd,,syn-ack,,10,"cpe:/a:unrealircd:unrealircd",
10.0.2.6,,,tcp,6697,irc,open,UnrealIRCd,,syn-ack,,10,"cpe:/a:unrealircd:unrealircd",
10.0.2.6,,,tcp,8009,ajp13,open,Apache Jserv,Protocol v1.3,syn-ack,,10,"",
10.0.2.6,,,tcp,8180,http,open,Apache Tomcat/Coyote JSP engine,,syn-ack,1.1,10,"cpe:/a:apache:coyote_http_connector:1.1",
10.0.2.6,,,tcp,8787,drb,open,Ruby DRb RMI,"""Ruby 1.8"," path /usr/lib/ruby/1.8/drb""",syn-ack,,10,"cpe:/a:ruby-lang:ruby:1.8"
10.0.2.6,,,tcp,44152,mountd,open,,RPC #100005,syn-ack,3-Jan,10,"",
10.0.2.6,,,tcp,45334,java-rmi,open,GNU Classpath grmiregistry,,syn-ack,,10,"",
10.0.2.6,,,tcp,53654,status,open,,RPC #100024,syn-ack,1,10,"",
10.0.2.6,,,tcp,56588,nlockmgr,open,,RPC #100021,syn-ack,4-Jan,10,"",
